index,Date,vfinx,hsi,n225,pesi,ks11,jkse,msci,vgk,vwo,iemg,eem,emb,ibcx,spsk,asia,hydb,tlt
0,1998-05-01,69.4422454833984,10563.6796875,15601.099609375,7.8125,,448.524993896484,,,,,,,,,,,
1,1998-06-01,67.6878509521484,8612.009765625,15321.0302734375,9.0625,336.700012207031,414.079010009766,,,,,,,,,,,
2,1998-07-01,71.3465576171875,8612.009765625,16362.8896484375,9.6875,315.559997558594,456.527435302734,,,,,,,,,,,
3,1998-07-31,68.9484481811523,8612.009765625,16362.8896484375,12.34375,315.559997558594,456.527435302734,,,,,,,,,,,
4,1998-09-01,61.2588081359863,7062.47021484375,14369.6298828125,8.125,309.709991455078,325.844329833984,,,,,,,,,,,
5,1998-10-01,60.8720626831055,7062.47021484375,13197.1201171875,7.8125,305.640014648438,273.85986328125,,,,,,,,,,,
6,1998-11-02,68.6693649291992,10170.080078125,13952.75,9.0625,404.609985351563,307.188873291016,,,,,,,,,,,
7,1998-12-01,72.7173080444336,9975.849609375,14835.41015625,7.1875,445.959991455078,387.723480224609,,,,,,,,,,,
8,1998-12-31,76.173698425293,9975.849609375,14835.41015625,7.5,445.959991455078,387.723480224609,,,,,,,,,,,
9,1999-02-01,78.961296081543,9599.5498046875,14465.1796875,7.1875,581.669982910156,409.099853515625,,,,,,,,,,,
10,1999-03-01,76.7686996459961,10020.4599609375,14221.75,6.09375,581.669982910156,396.313232421875,,,,,,,,,,,
11,1999-04-01,80.4234008789063,11072.98046875,16327.5595703125,5.3125,636.890014648438,394.421295166016,,,,,,,,,,,
12,1999-04-30,83.0463485717773,11072.98046875,16327.5595703125,6.875,636.890014648438,394.421295166016,,,,,,,,,,,
13,1999-06-01,80.5982666015625,12363.5595703125,16408.5,6.09375,753.719970703125,583.23974609375,,,,,,,,,,,
14,1999-07-01,86.085563659668,12363.5595703125,17860.75,8.125,919.97998046875,673.022033691406,,,,,,,,,,,
15,1999-08-02,82.8472213745117,13435.4296875,17825.69921875,6.25,959.809997558594,596.495300292969,,,,,,,,,,,
16,1999-09-01,83.1643371582031,13544.1904296875,17802.48046875,7.8125,905.52001953125,571.759033203125,,,,,,,,,,,
17,1999-10-01,80.2233810424805,13544.1904296875,17712.560546875,6.71875,839.349975585938,566.025146484375,,,,,,,,,,,
18,1999-11-01,84.7366180419922,13322.1103515625,17996.919921875,7.34375,876.549987792969,595.066284179688,,,,,,,,,,,
19,1999-12-01,87.5920867919922,15422.51953125,18495.94921875,7.1875,999.159973144531,597.523315429688,,,,,,,,,,,
20,1999-12-31,92.2285385131836,15422.51953125,18495.94921875,5.9375,999.159973144531,597.523315429688,,,,,,,,,,,
21,2000-02-01,88.5211181640625,15653.8603515625,19423.380859375,7.8125,928.75,616.837707519531,,,,,,,,,,,
22,2000-03-01,86.7424240112305,16843.58984375,20081.669921875,6.5625,928.75,565.461242675781,,,,,,,,,,,
23,2000-03-31,94.3032989501953,16843.58984375,20081.669921875,8.75,928.75,565.461242675781,,,,,,,,,,,
24,2000-05-01,92.4661407470703,16843.58984375,18403.080078125,6.875,928.75,524.593444824219,,,,,,,,,,,
25,2000-06-01,91.3802490234375,14941.1904296875,16694.30078125,7.5,738.489990234375,524.593444824219,,,,,,,,,,,
26,2000-06-30,91.8314437866211,14941.1904296875,16694.30078125,7.5,738.489990234375,524.593444824219,,,,,,,,,,,
27,2000-08-01,90.9209899902344,16897.44921875,16099.669921875,7.34375,727.099975585938,489.662475585938,,,,,,,,,,,
28,2000-09-01,96.260383605957,17333.609375,16739.779296875,8.125,692.190002441406,470.40106201171903,,,,,,,,,,,
29,2000-10-02,90.9601516723633,17333.609375,15902.509765625,7.34375,589.219970703125,432.226196289063,,,,,,,,,,,
30,2000-11-01,90.0818557739258,15349.009765625,14872.3896484375,9.0625,548.760009765625,409.349853515625,,,,,,,,,,,
31,2000-12-01,83.4670486450195,14441.4296875,14835.330078125,9.0625,514.460021972656,427.539306640625,,,,,,,,,,,
32,2001-01-02,81.5268936157227,14869.9404296875,14835.330078125,7.1875,520.950012207031,410.192810058594,,,,,,,,,,,
33,2001-02-01,87.3364562988281,16163.990234375,13779.5498046875,9.84375,612.299987792969,430.568237304688,,,,,,,,,,,
34,2001-03-01,79.0007247924805,14360.5595703125,12681.66015625,9.6875,612.299987792969,424.017395019531,,,,,,,,,,,
35,2001-04-02,72.9798965454102,12727.2998046875,12937.8603515625,9.0625,515.200012207031,375.020874023438,,,,,,,,,,,
36,2001-05-01,80.7168807983398,12727.2998046875,14425.4599609375,12.1000003814697,515.200012207031,362.217254638672,,,,,,,,,,,
37,2001-06-01,80.4683990478516,13141.3798828125,13261.83984375,13.3500003814697,607.070007324219,396.502227783203,,,,,,,,,,,
38,2001-07-02,78.9775772094727,13141.3798828125,12751.1796875,11.1999998092651,596.739990234375,431.323181152344,,,,,,,,,,,
39,2001-08-01,77.7252731323242,12478.740234375,11959.330078125,11.6000003814697,562.789978027344,443.180847167969,,,,,,,,,,,
40,2001-08-31,72.5569839477539,12478.740234375,11959.330078125,15.3000001907349,562.789978027344,443.180847167969,,,,,,,,,,,
41,2001-10-01,66.5291442871094,12478.740234375,9972.2802734375,15.1499996185303,562.789978027344,388.663452148438,,,,,,,,,,,
42,2001-11-01,69.5146789550781,10158.849609375,10347.2802734375,16.0499992370605,544.090026855469,381.987640380859,,,,,,,,,,,
43,2001-11-30,73.1459197998047,10158.849609375,10347.2802734375,15.25,544.090026855469,381.987640380859,,,,,,,,,,,
