Date,vfinx,hsi,n225,pesi,ks11,jkse,msci,vgk,vwo,iemg,eem,emb,ibcx,spsk,asia,hydb,tlt
2002-01-02,74.2181396484375,11350.849609375,,13.5,724.9500122070310,383.4466247558590,,,,,,,,,,,
2002-02-01,72.18341064453130,10691.25,9791.4296875,15.050000190734900,742.4199829101560,454.2685546875,,,,,,,,,,,
2002-03-01,72.90116119384770,10425.3095703125,10812.0,12.949999809265100,,452.1485595703130,,,,,,,,,,,
2002-04-01,73.90333557128910,,11028.7001953125,16.649999618530300,875.8300170898440,486.653564453125,,,,,,,,,,,
2002-05-01,70.08834838867190,,11552.7900390625,15.649999618530300,,534.7041015625,,,,,,,,,,,
2002-05-31,68.94242858886720,,,14.75,,,,,,,,,,,,,
2002-07-01,62.64621353149410,,10595.4404296875,13.649999618530300,,492.2513732910160,,,,,,,,,,,
2002-08-01,57.33984375,10180.01953125,9793.509765625,14.050000190734900,707.7999877929690,461.2693176269530,,,,,,,,,,,43.41020965576170
2002-09-02,,9896.98046875,9521.6298828125,,751.97998046875,439.9759521484380,,,,,,,,,,,
2002-10-01,55.108707427978500,,9162.259765625,12.25,652.1300048828130,407.5058898925780,,,,,,,,,,,46.894954681396500
2002-11-01,58.62910461425780,9407.6796875,8685.7197265625,12.600000381469700,647.6500244140630,371.1249694824220,,,,,,,,,,,45.53849792480470
2002-12-02,60.91741180419920,10205.16015625,9174.4697265625,12.350000381469700,730.1599731445310,389.2584228515630,,,,,,,,,,,45.3527717590332
2003-01-02,59.346839904785200,9365.51953125,,12.649999618530300,635.1699829101560,409.11285400390600,,,,,,,,,,,46.13668441772460
2003-01-31,55.92164993286130,,,11.75,,,,,,,,,,,,,47.08852767944340
2003-02-28,55.07240295410160,,,10.850000381469700,,,,,,,,,,,,,48.54702377319340
2003-04-01,56.2943115234375,8596.8896484375,7986.72021484375,10.0,538.5599975585940,398.0431823730470,,,,,,,,,,,47.74818801879880
2003-05-01,60.15855026245120,,7863.2900390625,9.949999809265140,,452.1845703125,,,,,8.457974433898930,,,,,,48.40985870361330
2003-06-02,63.58238220214840,9637.5302734375,8547.169921875,9.899999618530270,648.7100219726560,505.708984375,,,,,9.332438468933110,,,,,,51.06639862060550
2003-07-01,64.67374420166020,,9278.490234375,9.25,674.75,505.64898681640600,,,,,9.75920295715332,,,,,,50.26432800292970
2003-08-01,64.60250091552730,10248.599609375,9611.669921875,10.550000190734900,727.260009765625,508.6878967285160,,,,,10.224616050720200,,,,,,45.438907623291000
2003-09-01,,10903.400390625,10670.1796875,,764.1099853515630,534.3211059570310,,,,,,,,,,,
2003-10-01,67.29307556152340,,10361.240234375,8.949999809265140,704.2899780273440,606.02099609375,,,,,11.232747077941900,,,,,,48.61552429199220
2003-10-31,69.53237915039060,,,11.449999809265100,,,,,,,11.950189590454100,,,,,,47.32123947143560
2003-12-01,70.92030334472660,12456.990234375,10403.26953125,11.0,807.3900146484380,629.9213256835940,,,,,12.523507118225100,,,,,,47.21730422973630
2004-01-02,73.5719985961914,12801.48046875,,15.399999618530300,821.260009765625,704.47705078125,,,,,13.564127922058100,,,,,,47.550960540771500
2004-02-02,75.41201782226560,12999.98046875,10776.73046875,16.25,854.8900146484380,,,,,,13.593269348144500,,,,,,48.91220474243160
2004-03-01,76.91421508789060,13918.650390625,11271.1201171875,15.800000190734900,,758.9833984375,,,,,14.449624061584500,,,,,,50.11426544189450
2004-04-01,75.41744232177730,12676.25,11683.419921875,11.25,882.75,737.631103515625,,,,,14.320928573608400,,,,,,50.674625396728500
2004-04-30,73.83780670166020,,,9.350000381469730,,,,,,,12.812992095947300,,,,,,47.670921325683600
2004-06-01,74.87646484375,12105.5498046875,11296.759765625,9.800000190734860,815.77001953125,731.1802978515630,,,,,12.87289047241210,,,,,,47.11250686645510
2004-07-01,75.50154113769530,,11896.009765625,9.100000381469730,778.030029296875,729.7863159179690,,,,,12.919025421142600,,,,,,48.13876724243160
2004-08-02,74.08309173583980,12201.3896484375,11222.240234375,8.850000381469730,719.5900268554690,749.4357299804690,,,,,12.543457984924300,,,,,,48.84837341308590
2004-09-01,74.17720031738280,13023.8701171875,11127.349609375,8.300000190734860,817.3599853515630,775.072998046875,,,,,13.159420013427700,,,,,,50.86921691894530
2004-10-01,75.97098541259770,,10985.169921875,8.149999618530270,846.010009765625,835.8801879882810,,,,,14.229462623596200,,,,,,51.04312515258790
2004-11-01,75.9854965209961,13094.25,10734.7099609375,6.75,835.6599731445310,863.5633544921880,,,,,14.466618537902800,,,,,,51.8800048828125
2004-12-01,80.23594665527340,14162.7998046875,10784.25,6.5,876.7999877929690,986.169677734375,,,,,15.9089937210083,,,,,,50.874534606933600
2004-12-31,81.719482421875,,,9.050000190734860,,,,,,,16.537708282470700,,,,,,52.308719635009800
2005-02-01,80.26283264160160,13578.259765625,11384.400390625,9.699999809265140,923.6900024414060,1047.5008544921900,,,,,16.590961456298800,,,,,,54.08943557739260
2005-03-01,81.84390258789060,14061.150390625,11780.5302734375,8.800000190734860,,1093.2486572265600,,,,,18.09357261657720,,,,,,53.36122131347660
2005-04-01,79.4288558959961,13491.349609375,11723.6298828125,8.899999618530270,981.9000244140630,1095.033447265630,,26.967378616333000,15.83796215057370,,16.71385955810550,,,,,,53.31431198120120
