,Date,vfx,Pred_VFNIX
0,2019-09-27,268.59146118164057,289.1021493840763
1,2019-09-30,269.9573974609375,289.23064310184424
2,2019-10-01,266.66537475585943,287.11508341695304
3,2019-10-02,261.88943481445307,283.97362247299685
4,2019-10-03,264.04156494140625,285.1845226874448
5,2019-10-04,267.79547119140625,287.5830047998389
6,2019-10-07,266.5965576171875,286.9866868899881
7,2019-10-08,262.44955444335943,284.20777754604575
8,2019-10-09,264.9161376953125,285.8122706077393
9,2019-10-10,266.62606811523443,286.98060125047783
10,2019-10-11,269.56430053710943,289.5707735312299
11,2019-10-14,269.19088745117193,288.86268619794106
12,2019-10-15,271.8736572265625,290.1219874322779
13,2019-10-16,271.34295654296875,289.8236340957465
14,2019-10-17,272.10946655273443,290.60121285317297
15,2019-10-18,271.0482177734375,290.0016128846674
16,2019-10-21,272.91531372070307,290.8918731638369
17,2019-10-22,271.9522705078125,290.8215892608442
18,2019-10-23,272.73846435546875,291.6939066225387
19,2019-10-24,273.25927734375,292.44345704762605
20,2019-10-25,274.37954711914057,293.2724422636184
21,2019-10-28,275.90274047851557,293.7770942938187
22,2019-10-29,275.8143310546875,293.59882393248887
23,2019-10-30,276.60043334960943,293.8539647427679
24,2019-10-31,275.77499389648443,292.9827090036907
25,2019-11-01,278.46755981445307,295.10706819436024
26,2019-11-04,279.49942016601557,295.8258539921936
27,2019-11-05,279.165283203125,295.80729054882255
28,2019-11-06,279.3814697265625,295.5326667206519
29,2019-11-07,280.27572631835943,295.8840787594
30,2019-11-08,281.042236328125,296.32039070266734
31,2019-11-11,280.48214721679693,295.97671654708034
32,2019-11-12,280.93414306640625,296.13790375573086
33,2019-11-13,281.15036010742193,296.3456752638759
34,2019-11-14,281.45498657226557,296.35540182039045
35,2019-11-15,283.6660461425781,297.5862336256669
36,2019-11-18,283.8134460449219,297.4140189989849
37,2019-11-19,283.65625,296.8664908722349
38,2019-11-20,282.6440734863281,296.945865853415
39,2019-11-21,282.22149658203125,297.1284724198013
40,2019-11-22,282.840576171875,297.16083695719686
41,2019-11-25,284.9927062988281,298.30594647423646
42,2019-11-26,285.6216125488281,298.84579652755025
43,2019-11-27,286.85003662109375,299.21186194890294
44,2019-11-29,285.7592468261719,297.7431444389859
45,2019-12-02,283.3024597167969,296.6038364652632
46,2019-12-03,281.42550659179693,296.18457776981273
47,2019-12-04,283.2336730957031,297.77544916665653
48,2019-12-05,283.73486328125,297.99838991628354
49,2019-12-06,286.3390197753906,299.19761975815715
50,2019-12-09,285.45458984375,298.8289675662018
51,2019-12-10,285.1597595214844,298.85159807086717
52,2019-12-11,285.9851989746094,299.185343812118
53,2019-12-12,288.4812927246094,300.1501718658274
54,2019-12-13,288.550048828125,300.5673446971214
55,2019-12-16,290.6137390136719,301.6354566695464
56,2019-12-17,290.71197509765625,301.80311828091914
57,2019-12-18,290.6137390136719,301.87426194870756
58,2019-12-19,291.92071533203125,302.37276105345705
59,2019-12-20,293.38677978515625,302.6770131241083
60,2019-12-23,293.63360595703125,302.99631481679177
61,2019-12-24,293.6039733886719,303.32163486304495
62,2019-12-26,295.13421630859375,304.2170985882822
63,2019-12-27,295.14404296875,304.1956642781152
64,2019-12-30,293.47564697265625,303.4879208507446
65,2019-12-31,294.3542785644531,303.75695246963556
66,2020-01-02,296.85198974609375,304.7510499074761
67,2020-01-03,294.7886657714844,304.84266345361726
68,2020-01-06,295.82525634765625,305.4466145796105
69,2020-01-07,295.0256042480469,305.2927465860467
70,2020-01-08,296.4866943359375,304.8538927294704
71,2020-01-09,298.5303039550781,305.0782315314173
72,2020-01-10,297.6812438964844,304.71864051278686
73,2020-01-13,299.75445556640625,305.0576868909084
74,2020-01-14,299.3299560546875,305.0908439071591
75,2020-01-15,299.89263916015625,305.23293686113
76,2020-01-16,302.4101257324219,306.2559373485365
77,2020-01-17,303.5849304199219,306.68942328230156
78,2020-01-21,302.7852783203125,306.21537140261177
79,2020-01-22,302.88397216796875,305.7366319357316
80,2020-01-23,303.2492980957031,305.3994620877293
81,2020-01-24,300.5146179199219,304.1914626449398
82,2020-01-27,295.7759094238281,301.791889005066
83,2020-01-28,298.7573547363281,302.997144676725
84,2020-01-29,298.5105285644531,302.8120859116171
85,2020-01-30,299.4878845214844,302.72622157528355
86,2020-01-31,294.2062072753906,300.1470243790537
87,2020-02-03,296.338623046875,300.2697838394452
88,2020-02-04,300.78118896484375,301.8476241924728
89,2020-02-05,304.1673889160156,303.52427768727836
90,2020-02-06,305.2336120605469,303.98008760086856
91,2020-02-07,303.6441650390625,302.80499845921446
92,2020-02-10,305.9148254394531,303.4580384169331
93,2020-02-11,306.4380187988281,303.8853489966005
94,2020-02-12,308.42242431640625,305.1818593560511
95,2020-02-13,308.0274963378906,305.2239130688832
96,2020-02-14,308.6396179199219,305.5977313258282
97,2020-02-18,307.7510681152344,305.50813635790297
98,2020-02-19,309.2516784667969,306.58472635883487
99,2020-02-20,308.07684326171875,306.38438620901076
100,2020-02-21,304.84857177734375,305.18412464938234
101,2020-02-24,294.66033935546875,299.8839886850856
102,2020-02-25,285.7455749511719,294.7732551671689
103,2020-02-26,284.6596374511719,293.6541853091149
104,2020-02-27,272.14144897460943,284.9409102016435
105,2020-02-28,269.959716796875,282.8816314678989
106,2020-03-02,282.37908935546875,290.32062300494187
107,2020-03-03,274.4515991210937,287.0702261232655
108,2020-03-04,286.0417175292969,291.787127555037
109,2020-03-05,276.40634155273443,286.55949592977055
110,2020-03-06,271.6972045898437,281.9502295742023
111,2020-03-09,251.00299072265625,264.4485134874704
