,Date,vfx,Pred_VFNIX
0,2019/9/26,269.99670410000004,268.9999225340239
1,2019/9/27,268.59146119999997,267.592343268589
2,2019/9/30,269.9573975,269.87877169901736
3,2019/10/1,266.6653748,266.7564859894416
4,2019/10/2,261.8894348,261.9160825230437
5,2019/10/3,264.0415649,265.0437110648098
6,2019/10/4,267.7954712,269.29638741350453
7,2019/10/7,266.5965576,267.4337678534132
8,2019/10/8,262.4495544,263.4883432975862
9,2019/10/9,264.9161377,265.3273562623878
10,2019/10/10,266.6260681,266.1294119501271
11,2019/10/11,269.5643005,268.77412946109536
12,2019/10/14,269.1908875,268.607197108689
13,2019/10/15,271.87365719999997,271.00898709947126
14,2019/10/16,271.3429565,270.5431637856202
15,2019/10/17,272.1094666,271.11995601061903
16,2019/10/18,271.04821780000003,270.1952098921307
17,2019/10/21,272.9153137,271.5410739938981
18,2019/10/22,271.9522705,270.9501770034524
19,2019/10/23,272.7384644,271.6377901602817
20,2019/10/24,273.2592773,272.33696906900985
21,2019/10/25,274.3795471,273.36045633401216
22,2019/10/28,275.9027405,274.53220329810273
23,2019/10/29,275.8143311,274.4239291682054
24,2019/10/30,276.6004333,276.3119583347412
25,2019/10/31,275.77499389999997,276.7039944879932
26,2019/11/1,278.4675598,279.34084572999325
27,2019/11/4,279.49942020000003,279.66121316339814
28,2019/11/5,279.1652832,278.50600872929624
29,2019/11/6,279.38146969999997,279.0336718209766
30,2019/11/7,280.27572630000003,278.80488021977806
31,2019/11/8,281.0422363,279.30068881632974
32,2019/11/11,280.4821472,278.8705674598553
33,2019/11/12,280.93414310000003,279.50125530986406
34,2019/11/13,281.1503601,280.11156874440667
35,2019/11/14,281.45498660000004,281.0519850937505
36,2019/11/15,283.6660461,283.0512635532982
37,2019/11/18,283.813446,283.7034940765408
38,2019/11/19,283.65625,283.836582001421
39,2019/11/20,282.6440735,283.2593224733152
40,2019/11/21,282.2214966,282.49173038971884
41,2019/11/22,282.8405762,283.1512196878905
42,2019/11/25,284.9927063,285.60295659242837
43,2019/11/26,285.6216125,286.7764637315554
44,2019/11/27,286.85003660000007,287.47857107308755
45,2019/11/29,285.7592468,286.7408863883407
46,2019/12/2,283.3024597,283.20508415936007
47,2019/12/3,281.4255066,282.76225215837457
48,2019/12/4,283.23367310000003,284.1891466188998
49,2019/12/5,283.7348633,284.1962652028968
50,2019/12/6,286.3390198,286.6632517654939
51,2019/12/9,285.4545898,285.5942336010973
52,2019/12/10,285.1597595,285.3048795172285
53,2019/12/11,285.985199,286.66429540909957
54,2019/12/12,288.4812927,287.792520877156
55,2019/12/13,288.5500488,289.3235148931558
56,2019/12/16,290.613739,290.6147979920229
57,2019/12/17,290.7119751,290.6227421448423
58,2019/12/18,290.613739,290.0539096494331
59,2019/12/19,291.9207153,291.43207997266603
60,2019/12/20,293.3867798,292.7695637720475
61,2019/12/23,293.633606,292.79657389163344
62,2019/12/24,293.6039734,293.0180911411327
63,2019/12/26,295.1342163,294.6354583480806
64,2019/12/27,295.144043,294.7795590495163
65,2019/12/30,293.47564700000004,293.0308017856437
66,2019/12/31,294.35427860000004,294.0575601723952
67,2020/1/2,296.8519897,297.21208979635554
68,2020/1/3,294.78866580000005,296.1525578850315
69,2020/1/6,295.82525630000004,296.89675365973625
70,2020/1/7,295.0256042,295.7361596631334
71,2020/1/8,296.4866943,296.55216434861734
72,2020/1/9,298.530304,298.65731811544634
73,2020/1/10,297.68124389999997,298.36389849454645
74,2020/1/13,299.75445560000003,300.0413608810575
75,2020/1/14,299.3299561,300.23857836899157
76,2020/1/15,299.8926392,300.9958274771525
77,2020/1/16,302.4101257,302.984046429834
78,2020/1/17,303.58493039999996,303.69018815485686
79,2020/1/21,302.7852783,303.61772501972774
80,2020/1/22,302.8839722,303.98268874631293
81,2020/1/23,303.24929810000003,304.73281927047685
82,2020/1/24,300.51461789999996,302.6545198555315
83,2020/1/27,295.77590939999993,298.83205832393253
84,2020/1/28,298.75735469999995,301.2603054589574
85,2020/1/29,298.51052860000004,301.7161752166288
86,2020/1/30,299.4878845,302.518487921077
87,2020/1/31,294.2062073,298.3631196560347
88,2020/2/3,296.338623,300.48308693135635
89,2020/2/4,300.78118900000004,304.0056956359487
90,2020/2/5,304.1673889,306.4209361678281
91,2020/2/6,305.2336121,307.54213651250893
92,2020/2/7,303.644165,306.77147580517646
93,2020/2/10,305.9148254,309.13539087913443
94,2020/2/11,306.4380188,309.20280714070765
95,2020/2/12,308.42242430000005,310.65206984328904
96,2020/2/13,308.0274963,310.5091685531614
97,2020/2/14,308.63961789999996,311.2439559586447
98,2020/2/18,307.75106810000005,310.7847683489134
99,2020/2/19,309.2516785,312.1507109075126
100,2020/2/20,308.0768433,311.47055123524024
101,2020/2/21,304.84857180000006,309.1215587071665
102,2020/2/24,294.6603394,299.3299230541551
103,2020/2/25,285.745575,290.5993302591804
104,2020/2/26,284.6596375,288.9342981353161
105,2020/2/27,272.141449,275.05450019243744
106,2020/2/28,269.9597168,274.1647940185908
107,2020/3/2,282.3790894,286.98103345503995
108,2020/3/3,274.45159910000007,281.12206498303374
109,2020/3/4,286.0417175,292.1236885710604
110,2020/3/5,276.4063416,282.9962152472909
111,2020/3/6,271.6972046,279.75004748404325
112,2020/3/9,251.00299069999997,257.9849730190619
113,2020/3/10,263.40347290000005,267.6651841403962
114,2020/3/11,250.55693050000002,253.27842463347824
115,2020/3/12,226.7769623,230.34489185002204
116,2020/3/13,247.9103088,246.57213048523982
117,2020/3/16,218.21261600000003,223.47346446633927
